Zahl;Bezirk;Note
ES411;Avila;9
ES111;A CoruÏa;5,25
ES421;Albacete;6
ES521;Alicante / Alacant;2,5
ES611;Almer­a;7,5
ES211;Araba/úlava;4,5
ES120;Asturias;5
ES431;Badajoz;6,75
ES511;Barcelona;5,25
ES213;Bizkaia;5,25
ES412;Burgos;5,25
ES612;Cadiz;6,75
ES613;C½rdoba;7,5
ES432;Caceres;7,875
ES130;Canrabria;4,375
ES522;Castell½n / Castell½;6
ES422;Ciudad Real;6,75
ES423;Cuenca;6,125
ES212;Gipuzkoa;3,5
ES512;Girona;5,25
ES614;Granada;5,625
ES424;Guadalajara;5
ES615;Huelva;6,25
ES241;Huesca;5,25
ES616;Jaen;7,5
ES230;La Rioja;5,25
ES413;Leon;6
ES513;Lleida;6
ES112;Lugo;6
ES300;Madrid;5
ES617;Malaga;5,625
ES620;Murcia;6,25
ES220;Navarra;2,25
ES113;Ourense;7,875
ES414;Palencia;8
ES114;Pontevedra;3,5
ES415;Salamanca;8
ES416;Segovia;2,625
ES618;Sevilla;6,25
ES417;Soria;3,5
ES514;Tarragona;6
ES419;Zamora;7,875
ES243;Zaragoza;6
ES425;Toledo;5,625
ES523;Valencia ;6
ES242;Teruel;5,25
ES418;Valladolid;6,125
